arquivo;estados;animacoes;quadros;icone;folha;overflow
SuperDragonball.dmi;7;7;7;64x64;448x64;
Auras\(rage).dmi;1;1;4;96x96;192x192;
Auras\(Teal White)big aura - Copy.dmi;1;1;4;96x96;192x192;
Auras\AbsorbSparks.dmi;1;1;16;32x32;128x128;
Auras\All.dmi;3;3;24;32x32;160x160;
Auras\Amazing Super Demon Aura.dmi;1;1;4;96x96;192x192;
Auras\Amazing Super Namekian Aura.dmi;1;1;4;96x96;192x192;
Auras\Aura # 3.dmi;1;1;9;32x32;96x96;
Auras\Aura # 4.dmi;1;1;9;32x32;96x96;
Auras\Aura 2.dmi;1;1;6;32x32;96x64;
Auras\aura blanco.dmi;1;1;4;96x96;192x192;
Auras\Aura Electric.dmi;2;2;20;32x32;160x128;
Auras\Aura FullPower.dmi;1;1;3;32x32;64x64;
Auras\Aura godtest.dmi;1;1;4;128x128;256x256;
Auras\Aura Green.dmi;1;1;4;96x96;192x192;
Auras\Aura Kaioken.dmi;1;1;3;32x32;96x32;
Auras\Aura Kaioken2.dmi;2;2;18;32x32;160x128;
Auras\Aura Normal.dmi;3;3;10;32x32;128x96;
Auras\Aura SSj3 2.dmi;3;3;45;32x32;224x224;
Auras\Aura SSj3.dmi;1;1;15;32x32;128x128;
Auras\Aura SSj4.dmi;1;1;15;32x32;128x128;
Auras\Aura, Big.dmi;2;2;8;96x96;288x288;
Auras\Aura, Bloo.dmi;1;1;11;32x32;128x96;
Auras\Aura, Kaioken, Big.dmi;2;2;8;96x96;288x288;
Auras\Aura, LSSj, Big.dmi;2;2;8;96x96;288x288;
Auras\Aura, SSj, Big.dmi;2;2;8;96x96;288x288;
Auras\Aura-2.dmi;1;1;6;32x32;96x64;
Auras\Aura.dmi;1;1;6;32x32;192x32;
Auras\Aura2.dmi;1;1;6;32x32;192x32;
Auras\AuraBig.dmi;2;2;8;96x96;768x96;
Auras\Aurabigbottom.dmi;1;1;4;32x32;64x64;
Auras\Aurabigcombined.dmi;1;1;4;64x64;128x128;
Auras\Aurabigtop.dmi;1;1;4;32x32;64x64;
Auras\AuraBlastSize1.dmi;1;4;16;128x128;512x512;
Auras\AuraBloo.dmi;1;1;11;32x32;352x32;
Auras\AuraElectric.dmi;2;2;20;32x32;160x128;
Auras\AuraFly.dmi;7;36;76;32x32;288x288;
Auras\AuraJanuary27th2014.dmi;2;2;8;128x128;384x384;
Auras\AuraKaiokenBig.dmi;2;2;8;96x96;288x288;
Auras\AuraKiia.dmi;1;1;9;32x32;96x96;
Auras\AuraLSSjBig.dmi;2;2;10;96x96;384x288;
Auras\AuraNormal.dmi;3;3;10;32x32;320x32;
Auras\AuraSSj4.dmi;1;1;15;32x32;128x128;
Auras\AuraSSjBig.dmi;2;2;8;96x96;288x288;
Auras\AuraSuperKaioken.dmi;1;1;4;150x150;300x300;
Auras\AuraTall.dmi;2;2;6;32x32;192x32;
Auras\A_Kanassaburst.dmi;1;1;2;32x32;64x32;
Auras\Big Aura, Rainbow.dmi;1;1;4;86x86;172x172;
Auras\Black Demonflame.dmi;1;1;4;32x32;64x64;
Auras\BlackDemonflame.dmi;1;1;4;32x32;64x64;
Auras\bluego.dmi;2;2;18;80x101;400x404;
Auras\Burning Shot.dmi;1;1;4;96x96;192x192;
Auras\Burst.dmi;4;4;32;32x32;192x192;
Auras\BuuAura.dmi;1;1;10;74x67;296x201;
Auras\captainfalconaura (2).dmi;2;5;32;32x32;192x192;
Auras\captainfalconaura.dmi;1;1;6;80x101;240x202;
Auras\colorablebigaura.dmi;1;1;4;96x96;192x192;
Auras\CustomAura.dmi;1;1;14;32x32;448x32;
Auras\DakingsAuras.dmi;6;6;32;32x32;192x192;
Auras\DelayedElectricBlue.dmi;1;1;50;32x32;256x224;
Auras\dragon fire power up2.dmi;1;1;4;96x96;192x192;
Auras\DragonBallAura.dmi;1;1;4;32x32;128x32;
Auras\Elec Aura1.dmi;1;1;8;32x32;96x96;
Auras\Elec.dmi;1;1;30;32x32;192x160;
Auras\ElecAura1.dmi;1;1;8;32x32;96x96;
Auras\ElecAura3.dmi;2;5;23;32x32;160x160;
Auras\Electric Yellow.dmi;1;1;12;32x32;128x96;
Auras\Electricgroundbeam.dmi;1;8;32;32x32;192x192;
Auras\Electricgroundbeam2.dmi;1;8;32;32x32;192x192;
Auras\Electricity.dmi;1;4;140;32x32;384x384;
Auras\ElectricYellow.dmi;1;1;12;32x32;128x96;
Auras\Electric_Blue.dmi;1;1;40;32x32;224x192;
Auras\Electric_Majin.dmi;1;1;40;32x32;224x192;
Auras\Electric_Mystic.dmi;1;1;40;32x32;224x192;
Auras\Electric_Red.dmi;1;1;40;32x32;224x192;
Auras\Electric_Yellow.dmi;1;1;99;32x32;320x320;
Auras\Eviloverlay.dmi;3;3;9;28x40;84x120;
Auras\FieryGod.dmi;1;1;5;64x64;192x128;
Auras\FieryGodBlue.dmi;1;1;5;64x64;192x128;
Auras\FieryGodGrey.dmi;1;1;5;64x64;192x128;
Auras\FlameAura.dmi;1;4;16;32x64;192x192;
Auras\Flight Aura.dmi;2;8;24;32x32;160x160;
Auras\friezagod.dmi;1;1;16;32x64;192x192;
Auras\GatesAura.dmi;2;2;6;32x32;96x64;
Auras\GivePower.dmi;1;1;5;32x32;96x64;
Auras\god - grey.dmi;9;24;99;32x32;320x320;
Auras\God Aura - grey.dmi;1;1;8;100x100;300x300;
Auras\God Aura.dmi;1;1;8;100x100;300x300;
Auras\God Blue Aura.dmi;1;1;8;100x100;300x300;
Auras\god blue.dmi;9;24;99;32x32;320x320;
Auras\god.dmi;9;24;99;32x32;320x320;
Auras\godgo.dmi;1;1;6;80x101;240x202;
Auras\godhue.dmi;1;1;5;90x140;270x280;
Auras\godhue2.dmi;1;1;5;90x140;270x280;
Auras\Gold Electricty.dmi;2;5;32;32x32;192x192;
Auras\GoldIcerAuraSmaller.dmi;1;1;9;64x53;192x159;
Auras\GoldIdleAura.dmi;9;24;103;96x96;1056x960;
Auras\greengodaura.dmi;1;1;4;64x64;128x128;
Auras\Lightning - Blue.dmi;1;1;17;32x32;160x128;
Auras\Lightning - Red.dmi;1;1;17;32x32;160x128;
Auras\Lightning flash.dmi;1;1;6;32x32;192x32;
Auras\Lightning Strike.dmi;3;3;6;32x32;96x64;
Auras\Lightning.dmi;1;1;40;32x32;224x192;
Auras\LightningAura.dmi;1;4;20;32x64;224x192;
Auras\LSSJpowerz.dmi;1;1;6;32x32;96x64;
Auras\Menacinng Aura.dmi;1;4;28;100x100;600x500;
Auras\Mutant Aura.dmi;1;1;15;32x32;128x128;
Auras\NaniteRepair.dmi;1;1;4;32x32;64x64;
Auras\NormalTallAura.dmi;1;1;3;32x64;96x64;
Auras\SandAura.dmi;1;4;20;32x64;224x192;
Auras\SBombGivePower.dmi;1;1;4;32x32;64x64;
Auras\shockwave aura yellow-4.dmi;9;24;99;32x32;320x320;
Auras\snamek Elec.dmi;2;2;85;32x32;320x288;
Auras\SNj Elec.dmi;2;2;85;32x32;320x288;
Auras\Sparkle aura.dmi;1;1;5;32x32;96x64;
Auras\Sparks LSSj.dmi;2;2;55;32x32;256x224;
Auras\SparksLSSj.dmi;1;1;40;32x32;224x192;
Auras\ss3transformaurafinal.dmi;1;1;5;128x128;384x256;
Auras\SSBlueAura2017.dmi;1;1;4;64x64;128x128;
Auras\ssg.dmi;1;1;4;96x96;192x192;
Auras\SSj Aura.dmi;6;6;27;32x32;192x160;
Auras\SSj Lightning.dmi;1;1;50;32x32;256x224;
Auras\SSj2ElectricTobiUchiha.dmi;1;1;16;32x32;128x128;
Auras\ssj3aura.dmi;2;2;8;150x150;450x450;
Auras\SSj3ElectricTobiUchiha.dmi;1;1;17;32x32;160x128;
Auras\SSjAura.dmi;2;2;30;32x32;192x160;
Auras\SSjBlueIdleAura.dmi;9;24;99;96x96;960x960;
Auras\ssjrage.dmi;1;1;4;96x96;192x192;
Auras\SSRedIdleAura.dmi;9;24;99;96x96;960x960;
Auras\stunoverlay.dmi;1;1;8;32x32;96x96;
Auras\Supa Saiyan Rose Aura-1.dmi;1;1;6;80x101;240x202;
Auras\supercell.dmi;1;1;6;80x101;240x202;
Auras\transformaura.dmi;1;1;6;80x101;240x202;
Auras\UI Electricity.dmi;5;5;165;32x32;416x416;
Auras\UI Powerup.dmi;1;1;2;120x140;240x140;
Auras\UIAurafixed.dmi;1;1;7;32x32;96x96;
Auras\UI_Dots.dmi;1;1;33;32x32;192x192;
Auras\UltraInstinctSparkShockwave.dmi;1;1;7;32x32;96x96;
Auras\USSjAura.dmi;2;2;8;85x115;340x230;
Auras\USSjElectricTobiUchiha.dmi;1;1;16;32x32;128x128;
Auras\vermarUIaura.dmi;8;23;92;32x32;320x320;
Auras\vermarUIaura2.dmi;1;1;5;90x140;270x280;
Auras\Void Aura.dmi;1;1;11;32x32;128x96;
Auras\White Electricty.dmi;2;5;32;32x32;192x192;
Auras\whiteunderlay.dmi;1;1;1;32x32;32x32;
Auras\YellowLightningaura.dmi;4;4;45;32x32;224x224;
Auras\zamasuwip.dmi;8;23;62;32x32;256x256;
Auras\Zen Aura.dmi;1;1;4;166x242;332x484;
Auras\ZenAura.dmi;1;1;4;166x242;332x484;
Beams\Beam - Beam1.dmi;5;20;20;64x64;320x256;
Beams\Beam - Big Fire.dmi;5;20;40;64x64;448x384;
Beams\Beam1.dmi;5;40;120;32x32;352x352;
Beams\Beam10.dmi;5;40;320;32x32;576x576;
Beams\Beam11.dmi;5;40;120;32x32;352x352;
Beams\Beam12.dmi;5;20;32;32x32;192x192;
Beams\Beam13.dmi;5;20;60;81x81;648x648;
Beams\Beam14.dmi;5;8;38;96x96;672x576;
Beams\Beam2.dmi;5;20;32;32x32;192x192;
Beams\Beam3.dmi;7;48;48;32x32;224x224;
Beams\Beam4.dmi;5;40;160;32x32;416x416;
Beams\Beam5.dmi;5;40;80;32x32;288x288;
Beams\Beam6.dmi;5;40;64;32x32;256x256;
Beams\Beam7.dmi;5;20;40;32x32;224x192;
Beams\Beam8.dmi;5;40;48;32x32;224x224;
Beams\Beam9.dmi;5;40;80;32x32;288x288;
Beams\BeamBeam1.dmi;5;40;40;64x64;448x384;
Beams\BeamBigFire.dmi;5;40;80;64x64;576x576;
Beams\BeamBlastDragon.dmi;6;23;52;32x32;256x224;
Beams\BeamKamehameha.dmi;10;57;65;32x32;288x256;
Beams\BeamMasenko.dmi;6;41;57;32x32;256x256;
Beams\BeamMultiBeam.dmi;12;62;82;32x32;320x288;
Beams\BeamStaticBeam.dmi;7;49;145;32x32;416x384;
Beams\BlackDragonBeam.dmi;4;32;48;32x32;224x224;
Beams\Dragonbeam.dmi;5;40;240;32x32;512x480;
Beams\Energy Wave 1.dmi;5;40;64;32x32;256x256;
Beams\EnergyWave1.dmi;5;40;64;32x32;256x256;
Beams\EraserCannon.dmi;5;12;12;128x128;512x384;
Beams\FreezaDeathRay.dmi;5;20;32;32x32;192x192;
Beams\KingKoldDeathRay.dmi;5;20;60;81x81;648x648;
Beams\LightningBeam2014.dmi;5;40;160;32x32;416x416;
Beams\Makkankosappo.dmi;5;40;96;32x32;320x320;
Beams\OmegaBlasterZee.dmi;5;5;11;128x128;512x384;
Beams\PoisonBeam2014.dmi;5;40;160;32x32;416x416;
Beams\SnakeBeam2014.dmi;5;40;80;32x32;288x288;
Beams\ZentoBBKHH1.dmi;5;20;60;32x32;256x256;
Beams\ZentoBBKHH2.dmi;5;20;60;32x32;256x256;
Beta Icons\Telegraphing concept.dmi;11;11;90;32x32;320x288;
Blasts\1.dmi;1;8;40;32x32;1280x32;
Blasts\10.dmi;1;4;20;32x32;640x32;
Blasts\11.dmi;1;4;20;32x32;640x32;
Blasts\12.dmi;1;8;16;32x32;512x32;
Blasts\13.dmi;1;4;4;32x32;128x32;
Blasts\14.dmi;1;1;7;32x32;224x32;
Blasts\15.dmi;1;4;12;32x32;384x32;
